Word,FREQcount,CDcount,FREQlow,Cdlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,Dom_PoS_SUBTLEX,Freq_dom_PoS_SUBTLEX,Percentage_dom_PoS,All_PoS_SUBTLEX,All_freqs_SUBTLEX
choreographer,53,33,50,32,1.04,1.7324,0.39,1.5315,Noun,53,1.00,Noun,53
choreographers,6,4,6,4,0.12,0.8451,0.05,0.6990,Noun,6,1.00,Noun,6
choreographing,2,2,2,2,0.04,0.4771,0.02,0.4771,Verb,2,1.00,Verb,2
choreography,45,34,40,31,0.88,1.6628,0.41,1.5441,Noun,45,1.00,Noun,45
chores,214,163,208,161,4.20,2.3324,1.94,2.2148,Noun,214,1.00,Noun,214
chorister,1,1,1,1,0.02,0.3010,0.01,0.3010,Noun,1,1.00,Noun,1
chorizo,9,4,3,2,0.18,1.0000,0.05,0.6990,Noun,9,1.00,Noun,9
chorography,2,1,2,1,0.04,0.4771,0.01,0.3010,Noun,2,1.00,Noun,2
chorology,2,1,1,1,0.04,0.4771,0.01,0.3010,Noun,2,1.00,Noun,2
chortle,5,5,5,5,0.10,0.7782,0.06,0.7782,Verb,4,0.80,Verb.Noun,4.1
chortles,5,5,3,3,0.10,0.7782,0.06,0.7782,Verb,4,0.80,Verb.Name,4.1
chortling,2,2,2,2,0.04,0.4771,0.02,0.4771,Verb,1,0.50,Verb.Noun,1.1
chorus,310,210,242,171,6.08,2.4928,2.50,2.3243,Noun,307,1.00,Noun,307
choruses,12,9,12,9,0.24,1.1139,0.11,1.0000,Noun,12,1.00,Noun,12
chorusing,1,1,1,1,0.02,0.3010,0.01,0.3010,Verb,1,1.00,Verb,1
chose,952,775,943,773,18.67,2.9791,9.24,2.8899,Verb,951,1.00,Verb.Noun,951.1
chosen,927,664,880,646,18.18,2.9675,7.92,2.8228,Verb,751,0.81,Verb.Adjective,751.175
choses,3,3,3,3,0.06,0.6021,0.04,0.6021,Verb,3,1.00,Verb,3
chou,55,12,0,0,1.08,1.7482,0.14,1.1139,Name,55,1.00,Name,55
choughs,1,1,1,1,0.02,0.3010,0.01,0.3010,Noun,1,1.00,Noun,1
choule,16,1,0,0,0.31,1.2304,0.01,0.3010,Name,13,0.93,Name.Verb,13.1
chow,350,221,191,161,6.86,2.5453,2.63,2.3464,Noun,160,0.46,Noun.Name.Verb,160.159.31
chowder,82,38,50,34,1.61,1.9191,0.45,1.5911,Noun,48,0.60,Noun.Verb.Name,48.27.5
chowderhead,2,2,2,2,0.04,0.4771,0.02,0.4771,Noun,2,1.00,Noun,2
chowderheaded,3,1,1,1,0.06,0.6021,0.01,0.3010,Adjective,3,1.00,Adjective,3
chowhound,2,2,2,2,0.04,0.4771,0.02,0.4771,Noun,2,1.00,Noun,2
chowing,10,10,10,10,0.20,1.0414,0.12,1.0414,Verb,9,0.90,Verb.Noun,9.1
chows,7,6,1,1,0.14,0.9031,0.07,0.8451,Name,6,0.86,Name.Noun,6.1
chowtime,1,1,0,0,0.02,0.3010,0.01,0.3010,Noun,1,1.00,Noun,1
choy,83,10,3,3,1.63,1.9243,0.12,1.0414,Name,72,0.89,Name.Noun,72.9
choya,46,1,0,0,0.90,1.6721,0.01,0.3010,Name,28,0.61,Name.Noun,28.18
chreotechnics,1,1,0,0,0.02,0.3010,0.01,0.3010,Name,1,1.00,Name,1
chrestomathy,3,2,0,0,0.06,0.6021,0.02,0.4771,Noun,3,1.00,Noun,3
chrism,1,1,1,1,0.02,0.3010,0.01,0.3010,Noun,1,1.00,Noun,1
christ,4597,1722,46,24,90.14,3.6626,20.53,3.2363,Name,4537,0.99,Name.Noun,4537.45
christen,32,28,30,27,0.63,1.5185,0.33,1.4624,Verb,32,1.00,Verb,32
christendom,16,16,0,0,0.31,1.2304,0.19,1.2304,Noun,16,1.00,Noun,16
christened,29,19,29,19,0.57,1.4771,0.23,1.3010,Verb,29,1.00,Verb,29
christening,38,34,38,34,0.75,1.5911,0.41,1.5441,Noun,35,0.92,Noun.Verb,35.3
christenings,6,5,6,5,0.12,0.8451,0.06,0.7782,Noun,6,1.00,Noun,6
christian,811,412,27,17,15.90,2.9096,4.91,2.6160,Adjective,726,0.90,Adjective.Name.Noun,726.58.26
christiania,1,1,0,0,0.02,0.3010,0.01,0.3010,Name,1,1.00,Name,1
christianity,56,44,1,1,1.10,1.7559,0.52,1.6532,Noun,56,1.00,Noun,56
christians,180,97,6,6,3.53,2.2577,1.16,1.9912,Noun,180,1.00,Noun,180
christie,140,48,0,0,2.75,2.1492,0.57,1.6902,Name,140,1.00,Name,140
christies,2,2,0,0,0.04,0.4771,0.02,0.4771,Noun,1,0.50,Noun.Name,1.1
christine,367,74,0,0,7.20,2.5658,0.88,1.8751,Name,367,1.00,Name,367
christmas,6244,1382,106,22,122.43,3.7955,16.48,3.1408,Noun,6239,1.00,Noun,6239
christmases,30,21,0,0,0.59,1.4914,0.25,1.3424,Noun,28,0.93,Noun.Name,28.2
christopher,926,225,1,1,18.16,2.9671,2.68,2.3541,Name,910,1.00,Name.Noun,910.1
christs,3,3,0,0,0.06,0.6021,0.04,0.6021,Name,7,1.00,Name,7
christy,119,39,0,0,2.33,2.0792,0.46,1.6021,Name,67,0.57,Name.Noun.Adjective,67.44.7
chroma,3,2,1,1,0.06,0.6021,0.02,0.4771,Noun,2,0.67,Noun.Name,2.1
chromatic,3,3,3,3,0.06,0.6021,0.04,0.6021,Adjective,4,1.00,Adjective,4
chromaticism,1,1,1,1,0.02,0.3010,0.01,0.3010,Noun,1,1.00,Noun,1
chromatograph,4,4,4,4,0.08,0.6990,0.05,0.6990,Noun,3,0.75,Noun.Verb,3.1
chromatography,4,4,4,4,0.08,0.6990,0.05,0.6990,Noun,4,1.00,Noun,4
chrome,65,54,57,48,1.27,1.8195,0.64,1.7404,Noun,64,1.00,Noun,64
chromed,1,1,1,1,0.02,0.3010,0.01,0.3010,Verb,1,1.00,Verb,1
chromeplated,2,2,2,2,0.04,0.4771,0.02,0.4771,Verb,2,1.00,Verb,2
chromes,1,1,0,0,0.02,0.3010,0.01,0.3010,Noun,1,1.00,Noun,1
chromic,9,8,9,8,0.18,1.0000,0.10,0.9542,Adjective,9,1.00,Adjective,9
chroming,1,1,1,1,0.02,0.3010,0.01,0.3010,Verb,1,1.00,Verb,1
chromium,33,12,29,10,0.65,1.5315,0.14,1.1139,Noun,33,1.00,Noun,33
chromos,1,1,1,1,0.02,0.3010,0.01,0.3010,Noun,1,1.00,Noun,1
chromosomal,3,3,3,3,0.06,0.6021,0.04,0.6021,Adjective,3,1.00,Adjective,3
chromosome,38,33,38,33,0.75,1.5911,0.39,1.5315,Noun,38,1.00,Noun,38
chromosomes,43,34,40,33,0.84,1.6435,0.41,1.5441,Noun,43,1.00,Noun,43
chronic,252,152,179,131,4.94,2.4031,1.81,2.1847,Adjective,252,1.00,Adjective,252
chronically,11,11,9,9,0.22,1.0792,0.13,1.0792,Adverb,11,1.00,Adverb,11
chronicle,80,45,15,13,1.57,1.9085,0.54,1.6628,Noun,76,0.95,Noun.Verb,76.4
chronicled,6,6,6,6,0.12,0.8451,0.07,0.8451,Verb,6,1.00,Verb,6
chronicler,10,4,4,4,0.20,1.0414,0.05,0.6990,Noun,10,1.00,Noun,10
chroniclers,2,2,2,2,0.04,0.4771,0.02,0.4771,Noun,2,1.00,Noun,2
chronicles,13,12,6,5,0.25,1.1461,0.14,1.1139,Noun,11,0.85,Noun.Verb,11.2
chronicling,5,5,5,5,0.10,0.7782,0.06,0.7782,Verb,5,1.00,Verb,5
chronics,1,1,1,1,0.02,0.3010,0.01,0.3010,Noun,1,1.00,Noun,1
chronograph,2,2,1,1,0.04,0.4771,0.02,0.4771,Noun,1,0.50,Noun.Name,1.1
chronological,17,15,17,15,0.33,1.2553,0.18,1.2041,Adjective,17,1.00,Adjective,17
chronologically,11,11,8,8,0.22,1.0792,0.13,1.0792,Adverb,11,1.00,Adverb,11
chronologies,1,1,1,1,0.02,0.3010,0.01,0.3010,Noun,1,1.00,Noun,1
chronology,10,8,8,6,0.20,1.0414,0.10,0.9542,Noun,10,1.00,Noun,10
chronometer,11,6,8,5,0.22,1.0792,0.07,0.8451,Noun,11,1.00,Noun,11
chronometers,5,4,5,4,0.10,0.7782,0.05,0.6990,Noun,5,1.00,Noun,5
chronometric,3,2,3,2,0.06,0.6021,0.02,0.4771,Adjective,3,1.00,Adjective,3
chrysalis,4,4,4,4,0.08,0.6990,0.05,0.6990,Noun,4,1.00,Noun,4
chrysanthemum,12,6,5,3,0.24,1.1139,0.07,0.8451,Noun,12,1.00,Noun,12
chrysanthemums,10,8,10,8,0.20,1.0414,0.10,0.9542,Noun,10,1.00,Noun,10
chrysler,44,34,1,1,0.86,1.6532,0.41,1.5441,Name,37,0.84,Name.Noun,37.7
chryslers,1,1,0,0,0.02,0.3010,0.01,0.3010,Name,1,1.00,Name,1
chrysolite,1,1,1,1,0.02,0.3010,0.01,0.3010,Noun,1,1.00,Noun,1
chub,13,7,2,2,0.25,1.1461,0.08,0.9031,Noun,13,1.00,Noun,13
chubb,4,3,0,0,0.08,0.6990,0.04,0.6021,Name,4,1.00,Name,4
chubby,213,113,106,89,4.18,2.3304,1.35,2.0569,Adjective,213,1.00,Adjective,213
chubs,1,1,1,1,0.02,0.3010,0.01,0.3010,Noun,1,1.00,Noun,1
chuck,1096,363,106,91,21.49,3.0402,4.33,2.5611,Verb,547,0.50,Verb.Name.Noun,547.523.24
chucked,29,22,29,22,0.57,1.4771,0.26,1.3617,Verb,29,1.00,Verb,29
chucker,1,1,1,1,0.02,0.3010,0.01,0.3010,Noun,1,1.00,Noun,1
chuckie,61,20,0,0,1.20,1.7924,0.24,1.3222,Name,43,0.72,Name.Noun,43.17
chucking,15,14,13,12,0.29,1.2041,0.17,1.1761,Verb,15,1.00,Verb,15
chuckle,81,66,69,57,1.59,1.9138,0.79,1.8261,Noun,44,0.54,Noun.Verb.Name,44.36.1
chuckled,4,4,4,4,0.08,0.6990,0.05,0.6990,Verb,4,1.00,Verb,4
chucklehead,11,6,10,5,0.22,1.0792,0.07,0.8451,Noun,10,0.91,Noun.Name,10.1
chuckles,665,278,414,178,13.04,2.8235,3.31,2.4456,Verb,598,0.90,Verb.Noun,598.67
chuckling,245,117,185,90,4.80,2.3909,1.39,2.0719,Verb,237,0.97,Verb.Noun,237.8
chucks,12,11,10,9,0.24,1.1139,0.13,1.0792,Verb,7,0.64,Verb.Noun.Name,7.3.1
chucky,146,28,3,3,2.86,2.1673,0.33,1.4624,Name,107,0.73,Name.Adjective,107.39
chuff,2,1,2,1,0.04,0.4771,0.01,0.3010,Verb,1,0.50,Verb.Noun,1.1
chuffed,1,1,1,1,0.02,0.3010,0.01,0.3010,Adjective,1,1.00,Adjective,1
chuffs,1,1,1,1,0.02,0.3010,0.01,0.3010,Verb,1,1.00,Verb,1
chug,119,27,36,18,2.33,2.0792,0.32,1.4472,Verb,100,0.85,Verb.Noun.Name,100.12.6
chugalug,5,5,2,2,0.10,0.7782,0.06,0.7782,Verb,3,0.60,Verb.Noun,3.2
chugged,3,3,3,3,0.06,0.6021,0.04,0.6021,Verb,3,1.00,Verb,3
chugger,3,2,2,1,0.06,0.6021,0.02,0.4771,Verb,2,0.67,Verb.Name,2.1
chuggers,1,1,1,1,0.02,0.3010,0.01,0.3010,Noun,1,1.00,Noun,1
chugging,15,15,13,13,0.29,1.2041,0.18,1.2041,Verb,13,0.87,Verb.Name.Adjective,13.1.1
chugs,2,2,0,0,0.04,0.4771,0.02,0.4771,Verb,1,0.50,Verb.Noun,1.1
chukka,1,1,1,1,0.02,0.3010,0.01,0.3010,Noun,1,1.00,Noun,1
chukker,6,5,6,5,0.12,0.8451,0.06,0.7782,Noun,6,1.00,Noun,6
chum,156,94,132,91,3.06,2.1959,1.12,1.9777,Noun,151,0.97,Noun.Verb,151.5
chumming,6,6,6,6,0.12,0.8451,0.07,0.8451,Verb,6,1.00,Verb,6
chummy,54,41,45,38,1.06,1.7404,0.49,1.6232,Adjective,34,0.63,Adjective.Noun.Name,34.16.4
chump,209,150,201,147,4.10,2.3222,1.79,2.1790,Noun,154,0.74,Noun.Verb.Name,154.52.2
chumped,3,2,3,2,0.06,0.6021,0.02,0.4771,Verb,3,1.00,Verb,3
chumping,3,3,3,3,0.06,0.6021,0.04,0.6021,Verb,3,1.00,Verb,3
chumps,42,34,40,33,0.82,1.6335,0.41,1.5441,Noun,41,1.00,Noun,41
chums,31,27,29,25,0.61,1.5051,0.32,1.4472,Noun,31,1.00,Noun,31
chun,99,24,0,0,1.94,2.0000,0.29,1.3979,Noun,99,1.00,Noun,99
chunder,3,3,2,2,0.06,0.6021,0.04,0.6021,Verb,2,0.67,Verb.Name,2.1
chung,174,67,6,4,3.41,2.2430,0.80,1.8325,Name,130,0.76,Name.Verb.Adjective,130.32.10
chunga,1,1,0,0,0.02,0.3010,0.01,0.3010,Noun,1,1.00,Noun,1
chungking,3,2,0,0,0.06,0.6021,0.02,0.4771,Verb,2,0.67,Verb.Name,2.1
chunk,211,136,142,130,4.14,2.3263,1.62,2.1367,Noun,201,0.95,Noun.Verb.Name,201.6.4
chunked,1,1,1,1,0.02,0.3010,0.01,0.3010,Verb,1,1.00,Verb,1
chunkier,1,1,0,0,0.02,0.3010,0.01,0.3010,Adjective,1,1.00,Adjective,1
chunkiest,1,1,1,1,0.02,0.3010,0.01,0.3010,Adjective,1,1.00,Adjective,1
chunking,3,2,3,2,0.06,0.6021,0.02,0.4771,Verb,3,1.00,Verb,3
chunks,95,85,91,82,1.86,1.9823,1.01,1.9345,Noun,96,1.00,Noun,96
chunky,71,53,42,33,1.39,1.8573,0.63,1.7324,Adjective,70,1.00,Adjective,70
chuppah,8,3,8,3,0.16,0.9542,0.04,0.6021,Noun,8,1.00,Noun,8
church,3553,1340,2843,1228,69.67,3.5507,15.98,3.1274,Noun,3505,0.99,Noun.Name,3505.46
churches,155,118,143,112,3.04,2.1931,1.41,2.0755,Noun,155,1.00,Noun,155
churchgoer,13,12,13,12,0.25,1.1461,0.14,1.1139,Noun,11,0.85,Noun.Verb,11.2
churchgoers,5,5,2,2,0.10,0.7782,0.06,0.7782,Noun,5,1.00,Noun,5
churchgoing,7,7,7,7,0.14,0.9031,0.08,0.9031,Adjective,5,0.71,Adjective.Verb,5.2
churchill,143,67,0,0,2.80,2.1584,0.80,1.8325,Name,143,1.00,Name,143
churching,2,2,2,2,0.04,0.4771,0.02,0.4771,Verb,1,0.50,Verb.Noun,1.1
churchman,7,7,7,7,0.14,0.9031,0.08,0.9031,Noun,7,1.00,Noun,7
churchmen,7,6,4,3,0.14,0.9031,0.07,0.8451,Noun,7,1.00,Noun,7
churchy,3,2,2,2,0.06,0.6021,0.02,0.4771,Adjective,2,0.67,Adjective.Noun,2.1
churchyard,16,14,16,14,0.31,1.2304,0.17,1.1761,Noun,16,1.00,Noun,16
churchyards,3,2,3,2,0.06,0.6021,0.02,0.4771,Noun,3,1.00,Noun,3
churel,1,1,0,0,0.02,0.3010,0.01,0.3010,Name,1,1.00,Name,1
churl,1,1,1,1,0.02,0.3010,0.01,0.3010,Verb,1,1.00,Verb,1
churlish,5,5,4,4,0.10,0.7782,0.06,0.7782,Adjective,5,1.00,Adjective,5
churn,31,30,30,29,0.61,1.5051,0.36,1.4914,Verb,18,0.58,Verb.Noun,18.13
churned,18,14,18,14,0.35,1.2788,0.17,1.1761,Verb,18,1.00,Verb,18
churning,25,23,22,22,0.49,1.4150,0.27,1.3802,Verb,23,0.92,Verb.Noun.Adjective,23.1.1
churns,9,7,8,7,0.18,1.0000,0.08,0.9031,Noun,9,1.00,Noun,9
churro,4,4,4,4,0.08,0.6990,0.05,0.6990,Noun,4,1.00,Noun,4
chut,3,1,0,0,0.06,0.6021,0.01,0.3010,Verb,3,1.00,Verb,3
chute,184,116,181,115,3.61,2.2672,1.38,2.0682,Noun,174,0.97,Noun.Verb,174.5
chuted,1,1,1,1,0.02,0.3010,0.01,0.3010,Verb,1,1.00,Verb,1
chutes,45,35,38,30,0.88,1.6628,0.42,1.5563,Noun,40,0.89,Noun.Verb.Name,40.3.2
chutney,23,15,13,12,0.45,1.3802,0.18,1.2041,Noun,17,0.74,Noun.Name,17.6
chutzpah,8,8,5,5,0.16,0.9542,0.10,0.9542,Noun,4,0.50,Noun.Interjection,4.4
cia,7,3,5,2,0.14,0.9031,0.04,0.6021,Noun,4,0.67,Noun.Name,4.2
ciabatta,1,1,1,1,0.02,0.3010,0.01,0.3010,Noun,1,1.00,Noun,1
ciao,249,156,21,15,4.88,2.3979,1.86,2.1959,Interjection,249,1.00,Interjection,249
cicada,3,2,3,2,0.06,0.6021,0.02,0.4771,Noun,3,1.00,Noun,3
cicadas,6,4,2,2,0.12,0.8451,0.05,0.6990,Noun,6,1.00,Noun,6
cicatrice,2,1,0,0,0.04,0.4771,0.01,0.3010,Verb,1,0.50,Verb.Name,1.1
cicatrisation,1,1,1,1,0.02,0.3010,0.01,0.3010,Noun,1,1.00,Noun,1
cicatriser,1,1,1,1,0.02,0.3010,0.01,0.3010,Noun,1,1.00,Noun,1
cicatrization,1,1,1,1,0.02,0.3010,0.01,0.3010,Noun,1,1.00,Noun,1
cicely,24,5,0,0,0.47,1.3979,0.06,0.7782,Adverb,15,0.63,Adverb.Name,15.9
cicero,83,18,0,0,1.63,1.9243,0.21,1.2788,Name,47,0.57,Name.Noun,47.36
cicerone,3,3,3,3,0.06,0.6021,0.04,0.6021,Noun,3,1.00,Noun,3
ciceros,1,1,0,0,0.02,0.3010,0.01,0.3010,Noun,1,1.00,Noun,1
cid,4,3,1,1,0.08,0.6990,0.04,0.6021,Name,3,0.75,Name.Noun,3.1
cider,97,49,86,47,1.90,1.9912,0.58,1.6990,Noun,97,1.00,Noun,97
cienega,18,10,0,0,0.35,1.2788,0.12,1.0414,Name,18,1.00,Name,18
cig,12,12,11,11,0.24,1.1139,0.14,1.1139,Noun,11,0.92,Noun.Verb,11.1
cigar,660,387,603,368,12.94,2.8202,4.61,2.5888,Noun,657,1.00,Noun,657
cigaret,2,1,2,1,0.04,0.4771,0.01,0.3010,Noun,2,1.00,Noun,2
cigarette,1357,860,1180,770,26.61,3.1329,10.25,2.9350,Noun,1355,1.00,Noun,1355
cigarettes,905,567,818,532,17.75,2.9571,6.76,2.7543,Noun,904,1.00,Noun.Verb,904.1
cigarillo,1,1,1,1,0.02,0.3010,0.01,0.3010,Noun,1,1.00,Noun,1
cigars,340,224,305,209,6.67,2.5328,2.67,2.3522,Noun,339,1.00,Noun,339
ciggies,3,3,3,3,0.06,0.6021,0.04,0.6021,Noun,3,1.00,Noun,3
ciggy,5,5,4,4,0.10,0.7782,0.06,0.7782,Adjective,5,1.00,Adjective,5
cilantro,24,13,23,13,0.47,1.3979,0.15,1.1461,Noun,23,0.96,Noun.Name,23.1
cilia,2,2,2,2,0.04,0.4771,0.02,0.4771,Noun,2,1.00,Noun,2
ciliate,1,1,1,1,0.02,0.3010,0.01,0.3010,Noun,1,1.00,Noun,1
cimmerian,3,2,0,0,0.06,0.6021,0.02,0.4771,Adjective,3,1.00,Adjective,3
cinch,182,137,160,130,3.57,2.2625,1.63,2.1399,Noun,154,0.85,Noun.Verb.Name,154.20.8
cinched,7,7,6,6,0.14,0.9031,0.08,0.9031,Verb,7,1.00,Verb,7
cinches,5,5,5,5,0.10,0.7782,0.06,0.7782,Verb,5,1.00,Verb,5
cincinatti,3,3,0,0,0.06,0.6021,0.04,0.6021,Name,3,1.00,Name,3
cincinnati,164,84,0,0,3.22,2.2175,1.00,1.9294,Name,164,1.00,Name,164
cinder,39,30,35,27,0.76,1.6021,0.36,1.4914,Noun,39,1.00,Noun,39
cinderella,305,114,0,0,5.98,2.4857,1.36,2.0607,Name,303,1.00,Name,303
cindering,2,1,2,1,0.04,0.4771,0.01,0.3010,Verb,2,1.00,Verb,2
cinders,20,12,11,11,0.39,1.3222,0.14,1.1139,Noun,19,0.95,Noun.Name,19.1
cine,6,3,0,0,0.12,0.8451,0.04,0.6021,Noun,4,0.67,Noun.Unclassified,4.2
cinema,198,135,163,111,3.88,2.2989,1.61,2.1335,Noun,197,0.99,Noun.Name,197.1
cinemas,6,6,6,6,0.12,0.8451,0.07,0.8451,Noun,6,1.00,Noun,6
cinematheque,7,1,1,1,0.14,0.9031,0.01,0.3010,Noun,6,0.86,Noun.Adjective,6.1
cinematic,26,25,26,25,0.51,1.4314,0.30,1.4150,Adjective,26,1.00,Adjective,26
cinematically,2,2,2,2,0.04,0.4771,0.02,0.4771,Adverb,2,1.00,Adverb,2
cinematograph,2,1,2,1,0.04,0.4771,0.01,0.3010,Noun,2,1.00,Noun,2
cinematographer,17,11,17,11,0.33,1.2553,0.13,1.0792,Noun,17,1.00,Noun,17
cinematographers,2,1,2,1,0.04,0.4771,0.01,0.3010,Noun,2,1.00,Noun,2
cinematographically,1,1,1,1,0.02,0.3010,0.01,0.3010,Adverb,1,1.00,Adverb,1
cinematography,22,20,11,10,0.43,1.3617,0.24,1.3222,Noun,15,0.68,Noun.Name,15.7
cinerama,1,1,0,0,0.02,0.3010,0.01,0.3010,Name,1,1.00,Name,1
cinnabar,10,3,1,1,0.20,1.0414,0.04,0.6021,Name,6,0.67,Name.Noun,6.3
cinnamon,152,100,121,91,2.98,2.1847,1.19,2.0043,Noun,152,1.00,Noun,152
cinque,43,7,2,2,0.84,1.6435,0.08,0.9031,Noun,43,1.00,Noun,43
cioppino,2,2,2,2,0.04,0.4771,0.02,0.4771,Noun,2,1.00,Noun,2
cipher,76,35,75,35,1.49,1.8865,0.42,1.5563,Noun,67,0.91,Noun.Verb,67.7
ciphering,1,1,1,1,0.02,0.3010,0.01,0.3010,Verb,1,1.00,Verb,1
ciphers,6,6,6,6,0.12,0.8451,0.07,0.8451,Noun,5,0.83,Noun.Verb,5.1
ciphertext,3,2,3,2,0.06,0.6021,0.02,0.4771,Noun,3,1.00,Noun,3
circ,1,1,1,1,0.02,0.3010,0.01,0.3010,Noun,1,1.00,Noun,1
circa,35,32,30,28,0.69,1.5563,0.38,1.5185,Adverb,35,1.00,Adverb,35
circadian,6,2,6,2,0.12,0.8451,0.02,0.4771,Adjective,6,1.00,Adjective,6
circassian,2,1,0,0,0.04,0.4771,0.01,0.3010,Adjective,2,1.00,Adjective,2
circe,4,4,1,1,0.08,0.6990,0.05,0.6990,Name,3,0.75,Name.Verb,3.1
circle,1097,689,898,596,21.51,3.0406,8.21,2.8388,Noun,949,0.86,Noun.Verb,949.150
circled,71,63,68,60,1.39,1.8573,0.75,1.8062,Verb,67,0.94,Verb.Adjective,67.4
circles,408,335,393,327,8.00,2.6117,3.99,2.5263,Noun,408,1.00,Noun,408
circling,157,132,154,130,3.08,2.1987,1.57,2.1239,Verb,155,0.99,Verb.Noun.Adjective,155.1.1
circs,7,7,7,7,0.14,0.9031,0.08,0.9031,Noun,7,1.00,Noun,7
circuit,340,271,311,248,6.67,2.5328,3.23,2.4346,Noun,341,1.00,Noun,341
circuiting,1,1,1,1,0.02,0.3010,0.01,0.3010,Verb,1,1.00,Verb,1
circuitous,2,2,2,2,0.04,0.4771,0.02,0.4771,Adjective,2,1.00,Adjective,2
circuitry,44,40,42,38,0.86,1.6532,0.48,1.6128,Noun,44,1.00,Noun,44
circuits,138,97,133,95,2.71,2.1430,1.16,1.9912,Noun,138,1.00,Noun,138
circular,81,68,72,64,1.59,1.9138,0.81,1.8388,Adjective,62,0.77,Adjective.Noun,62.19
circulars,3,3,3,3,0.06,0.6021,0.04,0.6021,Noun,3,1.00,Noun,3
circulate,47,41,41,39,0.92,1.6812,0.49,1.6232,Verb,47,1.00,Verb,47
circulated,26,26,26,26,0.51,1.4314,0.31,1.4314,Verb,26,1.00,Verb,26
circulates,10,10,10,10,0.20,1.0414,0.12,1.0414,Verb,10,1.00,Verb,10
circulating,51,51,51,51,1.00,1.7160,0.61,1.7160,Verb,46,0.90,Verb.Adjective.Noun,46.3.2
circulation,185,155,173,149,3.63,2.2695,1.85,2.1931,Noun,185,1.00,Noun,185
circulations,2,2,2,2,0.04,0.4771,0.02,0.4771,Noun,2,1.00,Noun,2
circulators,1,1,1,1,0.02,0.3010,0.01,0.3010,Noun,1,1.00,Noun,1
circulatory,23,19,17,15,0.45,1.3802,0.23,1.3010,Adjective,23,1.00,Adjective,23
circum,1,1,1,1,0.02,0.3010,0.01,0.3010,Noun,1,1.00,Noun,1
circumambulating,2,1,1,1,0.04,0.4771,0.01,0.3010,Verb,2,1.00,Verb,2
circumcise,4,4,4,4,0.08,0.6990,0.05,0.6990,Verb,3,0.75,Verb.Noun,3.1
circumcised,42,33,42,33,0.82,1.6335,0.39,1.5315,Verb,25,0.60,Verb.Adjective,25.17
circumcising,4,4,4,4,0.08,0.6990,0.05,0.6990,Verb,4,1.00,Verb,4
circumcision,34,22,32,21,0.67,1.5441,0.26,1.3617,Noun,34,1.00,Noun,34
circumcisions,7,7,7,7,0.14,0.9031,0.08,0.9031,Noun,7,1.00,Noun,7
circumference,38,24,20,20,0.75,1.5911,0.29,1.3979,Noun,38,1.00,Noun,38
circumferential,3,3,2,2,0.06,0.6021,0.04,0.6021,Adjective,3,1.00,Adjective,3
circumnavigate,6,5,4,3,0.12,0.8451,0.06,0.7782,Verb,5,0.83,Verb.Name,5.1
circumnavigating,1,1,1,1,0.02,0.3010,0.01,0.3010,Verb,1,1.00,Verb,1
circumscribed,2,2,2,2,0.04,0.4771,0.02,0.4771,Verb,1,0.50,Verb.Adjective,1.1
circumspect,10,10,9,9,0.20,1.0414,0.12,1.0414,Adjective,10,1.00,Adjective,10
circumspection,1,1,1,1,0.02,0.3010,0.01,0.3010,Noun,1,1.00,Noun,1
circumstance,105,94,100,90,2.06,2.0253,1.12,1.9777,Noun,104,1.00,Noun,104
circumstances,1170,938,1147,930,22.94,3.0686,11.18,2.9727,Noun,1170,1.00,Noun.Verb,1170.2
circumstantial,85,69,79,66,1.67,1.9345,0.82,1.8451,Adjective,84,0.99,Adjective.Name,84.1
circumstantially,1,1,1,1,0.02,0.3010,0.01,0.3010,Adverb,1,1.00,Adverb,1
circumvent,26,24,23,23,0.51,1.4314,0.29,1.3979,Verb,26,1.00,Verb,26
circumvented,8,7,8,7,0.16,0.9542,0.08,0.9031,Verb,8,1.00,Verb,8
circumventing,5,5,5,5,0.10,0.7782,0.06,0.7782,Verb,5,1.00,Verb,5
circumvents,1,1,1,1,0.02,0.3010,0.01,0.3010,Verb,1,1.00,Verb,1
circus,870,450,751,413,17.06,2.9400,5.36,2.6542,Noun,868,1.00,Noun,868
circuses,16,14,14,12,0.31,1.2304,0.17,1.1761,Noun,15,1.00,Noun,15
cirque,41,36,1,1,0.80,1.6232,0.43,1.5682,Noun,29,0.71,Noun.Name.Adjective,29.11.1
cirrhosis,26,21,19,14,0.51,1.4314,0.25,1.3424,Noun,24,0.92,Noun.Name,24.2
cirrhotic,3,3,2,2,0.06,0.6021,0.04,0.6021,Adjective,3,1.00,Adjective,3
cirrus,6,6,4,4,0.12,0.8451,0.07,0.8451,Noun,4,0.67,Noun.Name,4.2
cis,1,1,0,0,0.02,0.3010,0.01,0.3010,Noun,1,1.00,Noun,1
cisalpine,1,1,0,0,0.02,0.3010,0.01,0.3010,Verb,1,1.00,Verb,1
cisco,85,17,4,2,1.67,1.9345,0.20,1.2553,Name,81,0.95,Name.Noun,81.4
cissy,18,8,4,2,0.35,1.2788,0.10,0.9542,Name,14,0.78,Name.Noun,14.4
cistern,11,8,11,8,0.22,1.0792,0.10,0.9542,Noun,11,1.00,Noun,11
cisterna,4,1,0,0,0.08,0.6990,0.01,0.3010,Name,3,0.75,Name.Noun,3.1
